File /home/krishna/.selected_editor is unchanged, skipping backup.
File /home/krishna/.sudo_as_admin_successful is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/.selected_editor is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/.sudo_as_admin_successful is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.cache/Microsoft/DeveloperTools/deviceid is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.cache/motd.legal-displayed is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.bashrc is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/restoringbackup.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/config is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/logs/refs/heads/main is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/logs/refs/remotes/origin/HEAD is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/logs/HEAD is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/objects/pack/pack-bec7acc7be381b78171b8e2b889877d5f3e02ad8.idx is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/objects/pack/pack-bec7acc7be381b78171b8e2b889877d5f3e02ad8.pack is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/objects/pack/pack-bec7acc7be381b78171b8e2b889877d5f3e02ad8.rev is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/objects/34/d0e94489e8e42b1ee1675ab99f6274113129ad is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/objects/b0/d3d09cf7b215c168e8c7620d91dedfbbef3957 is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/objects/6e/406d2b83cb054aa65d1cb08499a9073bc2004e is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/refs/heads/main is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/refs/remotes/origin/HEAD is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/HEAD is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/pre-applypatch.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/pre-rebase.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/commit-msg.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/sendemail-validate.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/update.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/fsmonitor-watchman.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/pre-commit.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/pre-receive.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/prepare-commit-msg.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/push-to-checkout.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/applypatch-msg.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/pre-merge-commit.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/post-update.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/hooks/pre-push.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/description is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/packed-refs is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/info/exclude is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/.git/index is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/fullbackup.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Automated_Backup_System/incrementalbackup.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.bash_logout is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/char&wordcount.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/evenodd.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/sumofdigits.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/removeblank.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/average.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/factorial.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/config is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/logs/refs/heads/main is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/logs/refs/remotes/origin/HEAD is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/logs/HEAD is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/objects/pack/pack-314ed7bde0ccbbd2f4d1770ab7b2b843f9d1dd2e.rev is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/objects/pack/pack-314ed7bde0ccbbd2f4d1770ab7b2b843f9d1dd2e.idx is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/objects/pack/pack-314ed7bde0ccbbd2f4d1770ab7b2b843f9d1dd2e.pack is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/refs/heads/main is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/refs/remotes/origin/HEAD is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/HEAD is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/pre-applypatch.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/pre-rebase.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/commit-msg.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/sendemail-validate.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/update.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/fsmonitor-watchman.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/pre-commit.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/pre-receive.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/prepare-commit-msg.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/push-to-checkout.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/applypatch-msg.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/pre-merge-commit.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/post-update.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/hooks/pre-push.sample is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/description is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/packed-refs is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/info/exclude is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/.git/index is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/spellcheck.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/folder2/fibonacci.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/greatest.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/palindrome.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/fibonacci.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/deletefile.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/user.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/date.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/check.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/fileinfo.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/sumofdigits.sh.new is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/stringlength.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/display_process.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/change_filename.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/prime.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/stringcheck.sh is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/Bash-Practice/factorial.sh_no_spaces.txt is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.bash_history is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.profile is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.motd_shown is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost2/vscode.github/GitHub.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost2/vscode.json-language-features/JSON Language Server.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost2/vscode.git/Git.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost2/remoteexthost.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost3/vscode.github/GitHub.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost3/vscode.git/Git.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost3/remoteexthost.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost1/vscode.github/GitHub.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost1/vscode.json-language-features/JSON Language Server.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost1/vscode.git/Git.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/exthost1/remoteexthost.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/remoteagent.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/logs/20241024T221448/ptyhost.log is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/User/workspaceStorage/dad79b43f5469d00bbc538f3db9b4249/vscode.lock is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/User/globalStorage/storage.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/User/History/-6cdc562c/entries.json is unchanged, skipping backup.
File /home/krishna/restore/home/krishna/restore/home/krishna/.vscode-server/data/User/History/-6cdc562c/krW5.sh is unchanged, skipping backup.
